STN_NAM_DE,lat,lon
ESPLANADE MRT STATION,1.2932599005110816,103.85561173051623
PAYA LEBAR MRT STATION,1.3173694012363306,103.89227219451108
DHOBY GHAUT MRT STATION,1.2990442030454223,103.8458331610417
DAKOTA MRT STATION,1.3083751548578983,103.88866829961988
LAVENDER MRT STATION,1.3073717305401726,103.86283780137067
RENJONG LRT STATION,1.3867475130805276,103.8904287884913
DOVER MRT STATION,1.3113946902694622,103.77864915497852
HOUGANG MRT STATION,1.3712811748310318,103.89234753417199
PHOENIX LRT STATION,1.3786249494438885,103.7580336231313
ALJUNIED MRT STATION,1.3164324728309895,103.88290604346119
COVE LRT STATION,1.3993617069210023,103.90591744003868
PASIR RIS MRT STATION,1.372951874838454,103.9492576380466
ADMIRALTY MRT STATION,1.4405870899071695,103.80097700881026
KEMBANGAN MRT STATION,1.3210380679728027,103.91294752764095
PUNGGOL POINT LRT STATION,1.41691085274144,103.90653551146728
MARSILING MRT STATION,1.4325651687522347,103.77419400271717
COMPASSVALE LRT STATION,1.3944787835084709,103.90055527769678
KHATIB MRT STATION,1.4175768086974465,103.83303805988021
LAYAR LRT STATION,1.3920928723391566,103.88015787540466
TAMPINES WEST MRT STATION,1.34551750723051,103.93842947035631
TAMPINES MRT STATION,1.3532891915288594,103.94515900793745
TAMPINES EAST MRT STATION,1.3562130024622965,103.95480497241815
TAI SENG MRT STATION,1.3354531036164103,103.88816447585148
TAI SENG FACILITY BUILDING,1.3421829604254403,103.89520334122041
SUMANG LRT STATION,1.4083532967338412,103.89851028688162
SUB STATION,1.334444044782844,103.96375092204562
STEVENS MRT STATION,1.3200659546015552,103.82602302626412
STADIUM MRT STATION,1.3028541000200191,103.8753479636843
SIXTH AVENUE MRT STATION,1.3307848579079669,103.79732046051102
SOUTH VIEW LRT STATION,1.3802982861094408,103.74529179987564
SOO TECK LRT STATION,1.4052096471263997,103.8972344083142
SOMERSET MRT STATION,1.3002576152123915,103.839075428181
SIMEI MRT STATION,1.3431974386722225,103.9533771187526
SERANGOON MRT STATION,1.3496172242889009,103.87363463484908
SERANGOON MRT STATION,1.3505310712474266,103.87246307208419
SENGKANG MRT STATION,1.39152768192613,103.89541608068801
BRADDELL MRT STATION,1.3404441145040584,103.84679989894848
NOVENA MRT STATION,1.320430081558181,103.8438181306479
FARRER PARK MRT STATION,1.3124482282682042,103.85427015820119
BEDOK MRT STATION,1.3240113190796488,103.93017252024234
REDHILL MRT STATION,1.289619539360249,103.81679002798292
CHANGI AIRPORT MRT STATION,1.3573079311156087,103.988370580773
CORAL EDGE LRT STATION,1.3939263506091426,103.91256353501424
CLEMENTI MRT STATION,1.315078227075958,103.76523302866741
BUKIT BATOK MRT STATION,1.3489966464287526,103.74954065595492
OASIS LRT STATION,1.4023508796763517,103.9126318518065
NIBONG LRT STATION,1.4117555857490138,103.90029894815675
MERIDIAN LRT STATION,1.3968523392134025,103.90899093849958
BUKIT GOMBAK MRT STATION,1.3586719216766776,103.75191010909083
EUNOS MRT STATION,1.3197792314619146,103.90336181829896
CHINESE GARDEN MRT STATION,1.3421449757273656,103.73281439469635
KADALOOR LRT STATION,1.3996385097348187,103.91639497899564
CHENG LIM LRT STATION,1.3962489159137625,103.89390790820732
SAM KEE LRT STATION,1.4096137635650092,103.90483111328929
KRANJI MRT STATION,1.4252396285345745,103.76218063429437
ANG MO KIO MRT STATION,1.3699486592449512,103.8496163530278
RIVIERA LRT STATION,1.3946364786519787,103.91622379031344
BUKIT PANJANG LRT DEPOT,1.3803143856273596,103.76012308582888
BANGKIT LRT STATION,1.3800154941538407,103.77266121898698
PASIR PANJANG MRT STATION,1.2762296704620824,103.79134196584099
HOLLAND VILLAGE MRT STATION,1.3119456176539683,103.79623333607995
LABRADOR PARK MRT STATION,1.272323494172133,103.80292770509465
BOTANIC GARDENS MRT STATION,1.3221094924390127,103.81498942403134
ONE-NORTH MRT STATION,1.299656479750217,103.78739399263875
KENT RIDGE MRT STATION,1.2934009386348053,103.78449793839724
HAW PAR VILLA MRT STATION,1.2825029024252173,103.78182132877058
MARINA BAY MRT STATION,1.2759503532634144,103.85514511012478
KING ALBERT PARK MRT STATION,1.335638111478614,103.78387153218183
LITTLE INDIA MRT STATION,1.3071673593544857,103.84861049957483
ROCHOR MRT STATION,1.3039275604057883,103.85243888579355
SENJA LRT STATION,1.3826992420009616,103.76236875392893
MOUNTBATTEN MRT STATION,1.3061937871203504,103.88254701515265
ULU PANDAN DEPOT,1.3293220633925316,103.7601019140939
CHOA CHU KANG MRT STATION,1.38517205129643,103.74436906811253
BOON KENG MRT STATION,1.3194470899422934,103.86168108554399
BARTLEY MRT STATION,1.3428468441312822,103.87972518740428
SEGAR LRT STATION,1.3877564079090396,103.76965965369814
GALI BATU DEPOT,1.397585075725287,103.75609202250465
HILLVIEW MRT STATION,1.3623400897045508,103.76742925213813
BEAUTY WORLD MRT STATION,1.3412035629000165,103.77581897698836
HUME MRT STATION,1.354510835679601,103.7691039291349
BUKIT PANJANG MRT STATION,1.3791601966032672,103.76157274093427
CASHEW MRT STATION,1.3693615846907987,103.76469719067453
JOO KOON MRT STATION,1.3277168588523394,103.67838692895
YEW TEE MRT STATION,1.3975496332584143,103.74740209309829
YISHUN MRT STATION,1.4295817516063585,103.83497216242338
YIO CHU KANG MRT STATION,1.3817576070023976,103.84480082324343
WOODLEIGH MRT STATION,1.33920708742577,103.8708091900647
WOODLANDS MRT STATION,1.4368311610388318,103.78616372622344
UPPER CHANGI MRT STATION,1.341740478840542,103.96147329736628
TELOK AYER MRT STATION,1.2822805844652623,103.84831284867057
TONGKANG LRT STATION,1.3893387810090914,103.88593735851892
UBI MRT STATION,1.3299552646755695,103.89924886691833
TOA PAYOH MRT STATION,1.3326773929779798,103.84742121706205
TIONG BAHRU MRT STATION,1.2862197404059492,103.82703434069519
THANGGAM LRT STATION,1.3974369934812907,103.87565537180332
PROMENADE MRT STATION,1.2932501662614946,103.86099644334269
BRAS BASAH MRT STATION,1.2968267738263335,103.85065551126362
NICOLL HIGHWAY MRT STATION,1.299802830048816,103.863633137961
POTONG PASIR MRT STATION,1.331387388848772,103.86906995810816
LAKESIDE MRT STATION,1.3442631500456728,103.7209653203281
SAMUDERA LRT STATION,1.4158186975144689,103.90208724257771
RANGGUNG LRT STATION,1.383921479301167,103.89749260372098
SEMBAWANG MRT STATION,1.4490696337603999,103.82019386177754
PUNGGOL LRT STATION,1.405166777085411,103.90239279940202
KANGKAR LRT STATION,1.384030767015161,103.90225755099719
PAYA LEBAR MRT STATION,1.3181133872499031,103.89304886925086
PIONEER MRT STATION,1.337586501491158,103.69731852720685
BUGIS MRT STATION,1.3006268209134002,103.85583934798076
NEWTON MRT STATION,1.3123222845850475,103.83798766449202
SENGKANG LRT DEPOT,1.3893620208030624,103.88453517698423
BUONA VISTA MRT STATION,1.3072583225799073,103.78994227925392
OUTRAM PARK MRT STATION,1.2797977740593687,103.83944001272558
MARINA BAY MRT STATION,1.2765175159853193,103.85461224805084
DHOBY GHAUT MRT STATION,1.2986992883344817,103.84611560172257
CHINATOWN MRT STATION,1.2843575514522576,103.84347988607078
EXPO MRT STATION,1.335252108066636,103.96237940532605
RAFFLES PLACE MRT STATION,1.2840672705009777,103.85145931541912
KIM CHUAN DEPOT,1.341769594572855,103.88893843051935
TUAS CRESCENT MRT STATION,1.321053251388889,103.64906349785997
TUAS LINK MRT STATION,1.340379947546524,103.63681865764417
TUAS WEST ROAD MRT STATION,1.329981823505072,103.63962756141935
LITTLE INDIA MRT STATION,1.3071554948851416,103.84984510823422
BOTANIC GARDENS MRT STATION,1.3224015074959208,103.8161588885056
PROMENADE MRT STATION,1.2927982015170596,103.8608646358618
CITY HALL MRT STATION,1.292933237404427,103.85260850449605
OUTRAM PARK MRT STATION,1.2814122827634302,103.83914018168741
BISHAN MRT STATION,1.35083838506414,103.84814352689496
SENGKANG MRT DEPOT,1.3876258704336377,103.88591940102576
EXPO MRT STATION,1.3345493613887138,103.96154622950401
FERNVALE LRT STATION,1.3919441924615419,103.87627965692408
CHANGI DEPOT,1.329246757640388,103.9598500819475
PUNGGOL MRT STATION,1.4051325908207848,103.90237397803011
BUANGKOK MRT STATION,1.382771583532665,103.89309246870114
BAKAU LRT STATION,1.3881050155267898,103.90552634663011
FARMWAY LRT STATION,1.3971619027285875,103.88938286088595
COMMONWEALTH MRT STATION,1.3024476464221981,103.79829071896594
KUPANG LRT STATION,1.3981975782517115,103.88137428318558
DAMAI LRT STATION,1.4053160222952814,103.90850357770302
QUEENSTOWN MRT STATION,1.294611331953746,103.80604523695622
KALLANG MRT STATION,1.3113966417419969,103.87131526306408
RUMBIA LRT STATION,1.391564445306317,103.90589048268193
PETIR LRT STATION,1.377754649311194,103.76666731226429
BISHAN MRT STATION,1.3512585802828811,103.84922134163037
BOON LAY MRT STATION,1.3386040238617447,103.70605907206513
KEAT HONG LRT STATION,1.378612166918344,103.7490515037209
JELAPANG LRT STATION,1.3866966745704865,103.76450057713733
CHOA CHU KANG LRT STATION,1.384822011993166,103.74454911650862
SENGKANG LRT STATION,1.391574442428222,103.89543625923643
HARBOURFRONT MRT STATION,1.2654573484420695,103.82145073502582
PENDING LRT STATION,1.3761265378632548,103.77127975005787
CLARKE QUAY MRT STATION,1.2885422166854585,103.84660479385994
BISHAN DEPOT,1.3537195792988477,103.85475566635996
BUKIT PANJANG LRT STATION,1.377916447782184,103.76302226940037
FAJAR LRT STATION,1.384532678304142,103.77083795604591
KOVAN MRT STATION,1.3601798708890225,103.88509111599782
LORONG CHUAN MRT STATION,1.3516197560990852,103.86414412661779
MARYMOUNT MRT STATION,1.3487766564232457,103.8394128452323
HARBOURFRONT MRT STATION,1.2651641711001147,103.82156643388264
BUONA VISTA MRT STATION,1.306483702426744,103.79063266061961
CALDECOTT MRT STATION,1.3376585476158447,103.83954121437303
BUGIS MRT STATION,1.2994506654585687,103.85688639281327
BOCC,1.3330542324906636,103.96531622561906
NEWTON MRT STATION,1.313501309020198,103.83808187995331
HALIFAX SUB STATION CABLE TROUGH,1.3109634935250662,103.84544890018653
CHINATOWN MRT STATION,1.2846275214737648,103.84455749391049
DOWNTOWN MRT STATION,1.2794414875060713,103.85285112567122
GEYLANG BAHRU MRT STATION,1.321512886713365,103.8719114642847
BENDEMEER MRT STATION,1.313644996213015,103.86289119769907
BENCOOLEN MRT STATION,1.2987271896396424,103.85024488985387
FORT CANNING MRT STATION,1.2924715943087608,103.84432545085924
KAKI BUKIT MRT STATION,1.3349629788877637,103.90845515797696
TAMPINES MRT STATION,1.3551430034633378,103.94301596869389
JALAN BESAR MRT STATION,1.305380482761965,103.85543504051996
MATTAR MRT STATION,1.3268656824120324,103.88325305991798
MACPHERSON MRT STATION,1.3263680371628,103.89026149721657
BAYFRONT MRT STATION,1.2818719116598414,103.85907645423954
DHOBY GHAUT MRT STATION,1.299703392902363,103.84548639495671
FARRER ROAD MRT STATION,1.3174545709807184,103.80748912462836
JURONG EAST MRT STATION,1.3332090245724455,103.74226323370071
BEDOK NORTH MRT STATION,1.3347556342977185,103.91787672284393
BEDOK RESERVOIR MRT STATION,1.336598735876531,103.93228754737622
ORCHARD MRT STATION,1.3039377453712606,103.83221933064601
BUKIT BROWN MRT STATION,1.3337318982953255,103.83071216428937
LENTOR MRT STATION,1.3849312066120423,103.83634746168929
BRIGHT HILL MRT STATION,1.3632672643962689,103.83293672058691
SPRINGLEAF MRT STATION,1.3981083796317924,103.81792447419276
MARINA SOUTH PIER MRT STATION,1.2713773813515974,103.86291089290123
MACPHERSON MRT STATION,1.3260906194678943,103.88937168279925
CANBERRA MRT STATION,1.4431183775240064,103.82971485231448
WOODLANDS SOUTH MRT STATION,1.427095476529849,103.79389595261564
WOODLANDS NORTH MRT STATION,1.448350098494633,103.78567472164114
GUL CIRCLE MRT STATION,1.3195643154245833,103.6605938692244
TUAS DEPOT,1.3403973495515948,103.64179532594139
TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,1.3432661321574537,103.89307843096155
WOODLANDS MRT STATION,1.4360746299294938,103.78791746837976
MANDAI DEPOT,1.4195586240031268,103.79663149659322
MARINA BAY MRT STATION,1.276716204523249,103.85430996253736
OUTRAM PARK MRT STATION,1.281218491085601,103.83930530871578
HAVELOCK MRT STATION,1.2884503869500783,103.83357369667694
STEVENS MRT STATION,1.3193857430327156,103.82556219155478
NAPIER MRT STATION,1.3067313563386187,103.81903764076158
MOUNT PLEASANT MRT STATION,1.3285471135844902,103.8350601191612
SHENTON WAY MRT STATION,1.2776198789757385,103.85062726544149
MARINA SOUTH MRT STATION,1.2742572615747323,103.86335054852057
GARDENS BY THE BAY MRT STATION,1.2791345488837864,103.86791502018522
GREAT WORLD MRT STATION,1.2945316918168188,103.83344691911547
MAXWELL MRT STATION,1.2805933535231275,103.84392208305798
MARINA BAY MRT STATION,1.2752907131470974,103.85517094862077
ORCHARD BOULEVARD MRT STATION,1.3026330243428752,103.82385764858506
ORCHARD MRT STATION,1.302960998092331,103.83148568420938
TELOK BLANGAH MRT STATION,1.2705817864751912,103.80973975610934
TECK WHYE LRT STATION,1.3766592934311064,103.75369963157156
TECK LEE LRT STATION,1.4128738707021273,103.90662621194815
TANJONG PAGAR MRT STATION,1.2765150316724942,103.84585358323419
TANAH MERAH MRT STATION,1.327254081976579,103.94654794367625
TAN KAH KEE MRT STATION,1.3258706044240745,103.80733086532439
UPPER THOMSON MRT STATION,1.354405050771702,103.83292375597877
CALDECOTT MRT STATION,1.3373172465419425,103.8401384844226
MAYFLOWER MRT STATION,1.3721031732224285,103.8367907699727
